USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.7  0.1  44784 22804 ?        Ss   09:36   0:02 /usr/lib/systemd/systemd --switched-root --system --deserialize=60 rhgb
root         807  0.1  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:15-btrfs-compressed-write]
root         809  0.1  0.0      0     0 ?        I    09:37   0:00 [kworker/u32:16-btrfs-endio-write]
root         869  0.0  0.0      0     0 ?        S    09:37   0:00 [irq/160-rtw88_pci]
systemd+     897  0.0  0.1  24860 16856 ?        Ss   09:37   0:00 /usr/lib/systemd/systemd-resolved
root         900  0.0  0.0  20872  3536 ?        S<sl 09:37   0:00 /usr/bin/auditd
dbus         928  0.0  0.0  13056  7088 ?        Ss   09:37   0:00 /usr/bin/dbus-broker-launch --scope system --audit
dbus         929  0.1  0.0  11592  9676 ?        S    09:37   0:00 dbus-broker --log 10 --controller 9 --machine-id ccf4b3ca79364cdba4362b837606e488 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
avahi        932  0.0  0.0   6580  4812 ?        Ss   09:37   0:00 avahi-daemon: running [mac.local]
root         933  0.0  0.0   9436  6144 ?        Ss   09:37   0:00 /usr/libexec/bluetooth/bluetoothd
root         937  0.0  0.0  81020  4300 ?        Ssl  09:37   0:00 /usr/sbin/irqbalance
chrony       939  0.0  0.0  86424  6744 ?        Ss   09:37   0:00 /usr/sbin/chronyd -n -F 2
root         943  0.0  0.0 303040  5944 ?        SLsl 09:37   0:00 /usr/libexec/low-memory-monitor
root         944  0.0  0.0   3208  2228 ?        Ss   09:37   0:00 /usr/sbin/mcelog --daemon --foreground
polkitd      947  0.3  0.0 383968 12588 ?        Ssl  09:37   0:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
rtkit        948  0.0  0.0  21728  3552 ?        SNsl 09:37   0:00 /usr/libexec/rtkit-daemon
root         949  0.0  0.0   9684  6228 ?        Ss   09:37   0:00 /usr/bin/smartd -n -q never --capabilities=mail
root         951  0.0  0.0 531448  7312 ?        Ssl  09:37   0:00 /usr/libexec/switcheroo-control
root         952  0.0  0.0  17240  8464 ?        Ss   09:37   0:00 /usr/lib/systemd/systemd-machined
root         953  0.0  0.0 610664  9892 ?        Ssl  09:37   0:00 /usr/bin/thermald --systemd --dbus-enable --adaptive
root         954  0.0  0.0 543476 15384 ?        Ssl  09:37   0:00 /usr/libexec/udisks2/udisksd
root         956  0.0  0.1 549848 18756 ?        Ssl  09:37   0:00 /usr/libexec/upowerd
root         957  0.0  0.0      0     0 ?        S    09:37   0:00 [irq/161-AudioDSP]
root         972  0.0  0.0 534708  9520 ?        Ssl  09:37   0:00 /usr/libexec/accounts-daemon
root         977  0.0  0.0  20104 11804 ?        Ss   09:37   0:00 /usr/lib/systemd/systemd-logind
root         982  0.0  0.0      0     0 ?        I    09:37   0:00 [kworker/6:3]
avahi        983  0.0  0.0   6444  1640 ?        S    09:37   0:00 avahi-daemon: chroot helper
root         996  0.0  0.0      0     0 ?        I    09:37   0:00 [kworker/4:3-i915-unordered]
root        1001  0.0  0.0      0     0 ?        S    09:37   0:00 [psimon]
root        1007  0.0  0.0 553768 15016 ?        Ssl  09:37   0:00 /usr/sbin/abrtd -d -s
root        1032  0.0  0.0 306176  7244 ?        Ssl  09:37   0:00 /usr/libexec/uresourced
root        1061  0.0  0.0 391304 13852 ?        Ssl  09:37   0:00 /usr/bin/ModemManager
root        1062  0.1  0.3 373084 53316 ?        Ssl  09:37   0:00 /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
root        1088  0.0  0.0   4932  3552 ?        SNs  09:37   0:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
root        1113  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-rpciod]
root        1114  0.0  0.0      0     0 ?        I<   09:37   0:00 [kworker/R-xprtiod]
root        1144  0.0  0.2 779224 33064 ?        Ss   09:37   0:00 /usr/bin/abrt-dump-journal-core -D -T -f -e
